"","Plot","Herbivory","Coral_Id","Coral","percent_bleached","percent_dead","Date","Nutrients","catcat"
"195","C1","open","P12","Pver",0,0,"Nov18","Ambient","Nov18_P12"
"196","C1","open","P18","Pver",0,0,"Nov18","Ambient","Nov18_P18"
"197","C1","open","P3","Pver",0,0,"Nov18","Ambient","Nov18_P3"
"198","C3","1x1","A2","Acr",0,0,"Nov18","Nutrient","Nov18_A2"
"199","C3","1x1","P20","Pver",0,0,"Nov18","Nutrient","Nov18_P20"
"200","C3","1x1","P7","Pver",0,0,"Nov18","Nutrient","Nov18_P7"
"201","C3","2x2","A1","Acr",0,0,"Nov18","Nutrient","Nov18_A1"
"202","C3","2x2","A3/Aret73","Acr",0,0,"Nov18","Nutrient","Nov18_A3/Aret73"
"203","C3","2x2","P17","Pver",0,0,"Nov18","Nutrient","Nov18_P17"
"204","C3","2x2","P22","Pver",0,0,"Nov18","Nutrient","Nov18_P22"
"205","C3","2x2","P23","Pver",0,10,"Nov18","Nutrient","Nov18_P23"
"206","C3","3x3","P15","Pver",0,0,"Nov18","Nutrient","Nov18_P15"
"207","C3","3x3","P19","Pver",0,0,"Nov18","Nutrient","Nov18_P19"
"208","C3","3x3","P24","Pver",0,0,"Nov18","Nutrient","Nov18_P24"
"209","C3","3x3","P3","Pver",0,0,"Nov18","Nutrient","Nov18_P3"
"210","C3","open","A1","Acr",5,15,"Nov18","Nutrient","Nov18_A1"
"211","C3","open","A6","Acr",0,0,"Nov18","Nutrient","Nov18_A6"
"212","C3","open","P11","Pver",0,0,"Nov18","Nutrient","Nov18_P11"
"213","C3","open","P12","Pver",0,0,"Nov18","Nutrient","Nov18_P12"
"214","C3","open","P13","Pver",0,0,"Nov18","Nutrient","Nov18_P13"
"215","C3","open","P15","Pver",0,0,"Nov18","Nutrient","Nov18_P15"
"216","D2","1x1","A1","Acr",0,0,"Nov18","Ambient","Nov18_A1"
"217","D2","1x1","A5","Acr",0,0,"Nov18","Ambient","Nov18_A5"
"218","D2","1x1","P15","Pver",0,0,"Nov18","Ambient","Nov18_P15"
"219","D2","1x1","P17","Pver",0,0,"Nov18","Ambient","Nov18_P17"
"220","D2","1x1","P2","Pver",0,0,"Nov18","Ambient","Nov18_P2"
"221","D2","2x2","A6","Acr",0,0,"Nov18","Ambient","Nov18_A6"
"222","D2","2x2","A7","Acr",0,0,"Nov18","Ambient","Nov18_A7"
"223","D2","2x2","P2","Pver",0,0,"Nov18","Ambient","Nov18_P2"
"224","D2","2x2","P21","Pver",0,0,"Nov18","Ambient","Nov18_P21"
"225","D2","2x2","P7","Pver",0,0,"Nov18","Ambient","Nov18_P7"
"226","D2","3x3","A1","Acr",0,0,"Nov18","Ambient","Nov18_A1"
"227","D2","3x3","P22","Pver",0,0,"Nov18","Ambient","Nov18_P22"
"228","D2","3x3","P5","Pver",0,0,"Nov18","Ambient","Nov18_P5"
"229","D2","3x3","P9","Pver",0,5,"Nov18","Ambient","Nov18_P9"
"230","D2","open","P12","Pver",0,0,"Nov18","Ambient","Nov18_P12"
"231","D2","open","P13","Pver",0,0,"Nov18","Ambient","Nov18_P13"
"232","D2","open","P15","Pver",0,0,"Nov18","Ambient","Nov18_P15"
"233","D4","1x1","A1","Acr",0,0,"Nov18","Nutrient","Nov18_A1"
"234","D4","1x1","A2","Acr",0,0,"Nov18","Nutrient","Nov18_A2"
"235","D4","1x1","A3","Acr",0,0,"Nov18","Nutrient","Nov18_A3"
"236","D4","1x1","A4","Acr",0,0,"Nov18","Nutrient","Nov18_A4"
