Plot,Herbivory,Coral_Id,Coral,percent_bleached,percent_dead,Date,Nutrients,catcat
D2,3x3,P9,Pver,0,10, Mar19,Ambient,Mar19_P9
D2,open,P12,Pver,0,2, Mar19,Ambient,Mar19_P12
D2,open,P13,Pver,0,0, Mar19,Ambient,Mar19_P13
D2,open,P15,Pver,0,0, Mar19,Ambient,Mar19_P15
D4,1x1,A1,Acr,0,0, Mar19,Nutrient,Mar19_A1
D4,1x1,A2,Acr,10,0, Mar19,Nutrient,Mar19_A2
D4,1x1,A3,Acr,70,0, Mar19,Nutrient,Mar19_A3
D4,1x1,A4,Acr,5,0, Mar19,Nutrient,Mar19_A4
D4,1x1,P16,Pver,0,0, Mar19,Nutrient,Mar19_P16
D4,1x1,P5,Pver,0,0, Mar19,Nutrient,Mar19_P5
D4,1x1,P7,Pver,0,5, Mar19,Nutrient,Mar19_P7
D4,2x2,A1,Acr,30,0, Mar19,Nutrient,Mar19_A1
